{'Retweet_Count': 63069, 'screen_name': 'awscloud'}
{'Retweet_Count': 880629, 'screen_name': 'iamdevloper'}
{'screen_name': 'imoyse', 'Retweet_Count': 307253}
{'Retweet_Count': 92, 'screen_name': 'Affgenius'}
{'screen_name': 'benvonseeger', 'Retweet_Count': 80451}
{'Retweet_Count': 2376, 'screen_name': 'danilop'}
{'screen_name': 'murphdogg11', 'Retweet_Count': 1577}
{'screen_name': 'bitfield', 'Retweet_Count': 24153}
{'Retweet_Count': 343265, 'screen_name': 'DrDataScientist'}
{'Retweet_Count': 50713, 'screen_name': 'jeffbarr'}
{'screen_name': 'videopinme', 'Retweet_Count': 3615}
{'Retweet_Count': 8250, 'screen_name': 'AWS_Gov'}
{'Retweet_Count': 13365, 'screen_name': 'catherinecan1'}
{'Retweet_Count': 15553, 'screen_name': 'evankirstel'}
{'screen_name': 'Kimyeoshi', 'Retweet_Count': 1895}
{'screen_name': 'Werner', 'Retweet_Count': 66881}
{'Retweet_Count': 310105, 'screen_name': 'aws_official'}
{'Retweet_Count': 50643, 'screen_name': 'compuware'}
{'screen_name': 'kubernan', 'Retweet_Count': 222046}
{'screen_name': 'Chaise_Lounge', 'Retweet_Count': 2590}
{'screen_name': 'JammyBitch_', 'Retweet_Count': 1417}
{'screen_name': 'VMware', 'Retweet_Count': 15484}
{'screen_name': 'AceJayneLace', 'Retweet_Count': 1013}
{'screen_name': 'eLearning_Feed', 'Retweet_Count': 8415}
{'screen_name': 'JessikaDommeUK', 'Retweet_Count': 10147}
{'screen_name': 'Pixie_rose86', 'Retweet_Count': 706}
{'screen_name': 'v_vashishta', 'Retweet_Count': 72574}
{'screen_name': 'adryenn', 'Retweet_Count': 65628}
{'Retweet_Count': 50057, 'screen_name': 'fchollet'}
{'screen_name': 'MissDaisyLace', 'Retweet_Count': 2180}
{'screen_name': 'xPrettyPollyx', 'Retweet_Count': 8698}
{'screen_name': 'BellaScarlettaX', 'Retweet_Count': 6690}
{'Retweet_Count': 52800, 'screen_name': 'gp_pulipaka'}
{'Retweet_Count': 12728, 'screen_name': 'ParallelRecruit'}
{'Retweet_Count': 5360, 'screen_name': 'sathish_zenn'}
{'Retweet_Count': 7312, 'screen_name': 'arungupta'}
{'Retweet_Count': 13603, 'screen_name': 'MissRavenUK'}
{'screen_name': 'TechCrunch', 'Retweet_Count': 105283}
{'screen_name': 'awsgeek', 'Retweet_Count': 585}
{'screen_name': 'mza', 'Retweet_Count': 13054}
{'screen_name': 'TheOurGirlArmy', 'Retweet_Count': 2530}
{'Retweet_Count': 2238, 'screen_name': 'belladeluxeaw'}
{'screen_name': 'GoddessAlexis2', 'Retweet_Count': 10011}
{'Retweet_Count': 7293, 'screen_name': 'Youseekjadey'}
{'screen_name': 'MistressCristal', 'Retweet_Count': 4684}
{'Retweet_Count': 11732, 'screen_name': 'GoddessDommelia'}
{'screen_name': 'SBahnBerlin', 'Retweet_Count': 8704}
{'Retweet_Count': 21485, 'screen_name': 'CloudExpo'}
{'screen_name': 'BrookeLeaS66', 'Retweet_Count': 1804}
{'screen_name': 'TSLucyWhite', 'Retweet_Count': 2856}
{'screen_name': 'pridiktiv', 'Retweet_Count': 488}
{'Retweet_Count': 336593, 'screen_name': 'LarryYZiam'}
{'screen_name': 'LexiLuxe_', 'Retweet_Count': 5590}
{'Retweet_Count': 4832, 'screen_name': 'TheNatalieK'}
{'Retweet_Count': 5456, 'screen_name': 'linuxacademyCOM'}
{'screen_name': 'aliceperryuk', 'Retweet_Count': 7910}
{'screen_name': 'ShelbyAW', 'Retweet_Count': 1715}
{'Retweet_Count': 9659, 'screen_name': 'jeffiel'}
{'Retweet_Count': 1509, 'screen_name': 'vmwarecloudaws'}
{'screen_name': 'jblefevre60', 'Retweet_Count': 21395}
{'screen_name': 'BuxomBabee', 'Retweet_Count': 3443}
{'screen_name': 'IanMmmm', 'Retweet_Count': 3322}
